NRO_NFS	VL_TOTAL	NRO_PEDIDO
5878	12150,0	3061
5879	11970,0	3073
5880	9820,0	3055
5881	5110,0	3056
5882	3952,98	3045
5883	21280,0	3026
5884	17610,0	3042
5885	7490,0	3092
5886	27010,0	3060
5887	900,0	3086
5888	115,0	3129
5889	197,97	3075
5890	958,26	3076
5891	372,04	3077
5892	526,9	3078
5893	10229,53	999999
5894	327,18	3079
5895	714,53	3080
5896	469,46	3081
5897	2092,82	3087
5898	1507,62	3082
5899	391,06	3083
5900	1333,58	3094
5901	953,28	3096
5902	87,02	3098
5903	2116,34	3099
5904	38000,0	999999
5905	2039,45	3102
5906	140000,0	999999
5907	533,93	3103
5908	9329,0	999999
5909	215,0	3104
5910	1758,66	3136
5911	4898,6	3085
5912	1735,0	3054
5913	1735,0	3072
5914	1930,0	3174
5915	7225,0	3157
5916	1325,0	3166
5917	1155,0	3160
5918	7695,0	3159
5919	5656,0	3162
5920	7800,0	3150
5921	7780,0	3152
5922	1200,0	3066
5923	2800,0	3068
5924	2750,0	3069
5925	7110,0	3049
5926	50,0	3219
5927	19195,0	3065
5928	20000,0	3048
5929	1145,0	3170
5930	460,0	3171
5931	4110,0	3062
5932	6890,0	3121
5933	5410,0	3063
5934	3315,0	3127
5935	2400,0	3154
5936	2130,0	3155
5937	8800,0	3186
5938	8645,0	3125
5939	2208,14	999999
5940	5097,0	3172
5941	450,0	3181
5942	6089,98	3180
5943	3160,0	3188
5944	10782,0	3182
5945	5830,0	3183
5946	9945,0	3184
5947	7300,0	3206
5948	2080,0	3205
5949	680,0	3213
5950	430,0	3214
5951	375,0	3215
5952	430,0	3216
5953	450,0	3217
5954	6690,0	3218
5955	410,0	3220
5956	2660,0	3221
5957	2270,0	3222
5958	603,62	3119
5959	759,03	3120
5960	1327,29	3131
5961	2430,62	3133
5962	605,68	3135
5963	707,26	3239
5964	312,22	3247
5965	375,05	3248
5966	1804,98	3241
5967	1426,48	3245
5968	2729,39	3243
5969	3726,85	3250
5970	2663,72	3249
5971	672,21	3251
5972	324,2	3165
5973	1240,0	3144
5974	1646,56	3262
5975	1594,18	3266
5976	1591,41	3264
5977	280,0	3123
5978	970,0	3226
5979	3512,9	3272
5980	2792,62	3273
5981	1892,35	3270
5982	2500,55	3269
5983	10770,93	3169
5984	18010,0	3234
5985	2260,0	3294
5986	13260,0	3281
5987	1050,0	3297
5988	13220,0	3296
5989	16000,0	3299
5990	3440,0	3291
5991	4735,13	3316
5992	3856,23	3319
5993	2978,5	3267
5994	7694,58	3317
5995	106,44	3268
5996	4100,64	3320
5997	3596,42	3318
5998	4019,95	3306
5999	30,0	3307
6000	645,75	999999
6001	5639,0	3047
6002	210,0	3339
6003	3790,0	3338
6004	430,0	3330
6005	2570,0	3334
6006	7220,0	3329
6007	12235,0	3323
6008	390,0	3324
6009	12155,0	3336
6010	5205,0	3379
6011	1310,0	3380
6015	3190,0	3346
6012	5800,0	3315
6013	270,0	3313
6014	270,0	3314
6016	13845,0	3371
6017	11335,0	3348
6018	382,02	3349
6019	13469,0	3350
6020	618,5	3365
6021	5513,7	3363
6022	1962,18	3360
6023	930,3	3361
6024	7575,0	3140
6025	960,37	3366
6026	112,63	3367
6027	722,0	3406
6028	310,87	3450
6029	300,0	3441
6030	9000,0	3374
6031	7107,8	3443
6032	300,0	3191
6033	3336,2	3445
6034	13600,0	3382
6035	11733,4	3447
6036	4095,21	3448
6037	1200,0	3460
6038	12345,0	3430
6039	4840,0	3427
6040	990,0	3425
6041	1880,0	3426
6042	3500,0	3423
6043	3500,0	3424
6044	2555,0	3415
6045	5890,0	3413
6046	3500,0	3431
6047	4720,0	3417
6048	4480,0	3429
6049	5212,0	3411
6050	10600,0	3384
6051	3394,0	3459
6052	570,0	3449
6053	3000,34	3409
