RECNUM	CODIGO_FORNEC	NRO_OBRIG	SERIE_OBRIG	CODIGO_MOEDA	DT_EMISSAO	DT_RECEB	DT_VCTO	DT_ULT_PGTO	VL_TOTAL	VL_PGTO	VL_JUROS	VL_DCTO	VL_DESP	CODIGO_GROBRIG	SUBSTITUIDA	GERA_MV_CTB	NRO_NFE	DT_REG	CODIGO_USUARIOD	ACEITE	DT_ACEITE	CODIGO_USUARIOA	INTEGRA_CTB	OBSERVACAO_1	OBSERVACAO_2	FLAG_SUBSTITUI	VALOR_SUBSTITUI	VALOR_SUBST_AUX	CODIGO_BANCO	NRO_LOTE	NRO_BANCO	CODIGO_BARRAS	DT_EFETIV_PGTO	DT_VCTO_AUX	VL_DCTO_BANCO	VL_ACRESC_BANCO	CONTACTB	CENTRO_CUSTO	FLAG_IMPORTA	SAFRA	NRO_NOTA_ORIG	SERIE_NOTA_ORIG	NRO_PAGAMENTO	FLAG_BAIXA	VL_BAIXA	VL_JUROS_BAIXA	VL_DCTO_BAIXA	CONTACTB_MIOLO	BANCO_OBRIG	DT_RECEB_BOLET	CONTA_ORCAMENT	STATUS	CODIGO_USUARIOL	CODIGO_USUARIOB	DT_LIBERACAO	DT_BLOQUEIO	CODIGO_PERFILCC	LOTE	CODIGO_DESPVAR	FORNEC_DARF	OBRIG_DARF	SERIE_DARF	CODIGO_TIPOPAG	CODIGO_FORMAPAG	CODIGO_REPRES	VL_MULTA	FLAG_CH_DEV	VL_MULTA_BAIXA	GUID
11	6	8389105,0	1  	1	20/05/2018	01/06/2018	01/06/2018	22/06/2018	6376,2	6376,2	0,0	0,0	0,0	109	N	 	8389105,0	04/06/2018	7	N		8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	900		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
51	7	87,0	1E 	1	01/06/2018	05/06/2018	06/06/2018	26/06/2018	6805,62	6805,62	181,51	0,0	0,0	100	N	 	87,0	07/06/2018	7	N		8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	900		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
23	12	11653,0	1  	1	09/05/2018	05/06/2018	06/06/2018	13/06/2018	457,83	457,83	10,71	0,0	0,0	107	N	 	0,0	05/06/2018	8	S	05/06/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
24	1	82385,0	1  	1	07/05/2018	05/06/2018	06/06/2018	11/06/2018	1445,0	1445,0	57,8	0,0	0,0	108	N	 	0,0	05/06/2018	8	S	05/06/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
25	1	82386,0	1  	1	07/05/2018	07/05/2018	06/06/2018	11/06/2018	810,0	810,0	32,4	0,0	0,0	108	N	 	0,0	05/06/2018	8	S	05/06/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
76	35	129440,0	3  	1	20/04/2018	08/05/2018	31/05/2018	04/06/2018	435,8	435,8	14,47	0,0	0,0	108	N	 	0,0	08/06/2018	8	S	08/06/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
27	11	3556,0	1E 	1	30/05/2018	05/06/2018	30/05/2018	30/05/2018	17290,0	17290,0	0,0	0,0	0,0	106	N	 	3556,0	03/07/2018	7	N		6	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
28	11	3556,0	2E 	1	30/05/2018	05/06/2018	20/06/2018	22/06/2018	10000,0	10000,0	33,34	0,0	0,0	106	N	 	3556,0	03/07/2018	7	N		6	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
29	11	3556,0	3E 	1	30/05/2018	05/06/2018	10/07/2018	10/07/2018	10000,0	10000,0	0,0	0,0	0,0	106	N	 	3556,0	03/07/2018	7	N		6	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
30	11	3556,0	4E 	1	30/05/2018	05/06/2018	09/08/2018	13/08/2018	10000,0	10000,0	66,68	0,0	0,0	106	N	 	3556,0	03/07/2018	7	N		8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
31	11	3556,0	5E 	1	30/05/2018	05/06/2018	17/09/2018	17/09/2018	10000,0	10000,0	350,03	0,0	0,0	106	N	 	3556,0	03/07/2018	7	N		8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
32	11	3556,0	6E 	1	30/05/2018	05/06/2018	08/10/2018	08/10/2018	10000,0	10000,0	0,0	0,0	0,0	106	N	 	3556,0	03/07/2018	7	N		0	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
33	11	3556,0	7E 	1	30/05/2018	05/06/2018	07/11/2018	14/11/2018	10000,0	10000,0	116,69	0,0	0,0	106	N	 	3556,0	03/07/2018	7	N		8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
34	18	19846,0	1  	1	03/05/2018	11/05/2018	02/06/2018	06/06/2018	841,2	841,2	3,92	0,0	0,0	108	N	 	0,0	06/06/2018	8	S	06/06/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
35	18	19846,0	2  	1	03/05/2018	11/05/2018	02/07/2018	06/07/2018	841,2	841,2	3,92	0,0	0,0	108	N	 	0,0	06/06/2018	8	S	06/06/2018	7	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
36	18	19846,0	3  	1	03/05/2018	11/05/2018	01/08/2018	01/08/2018	841,2	841,2	0,0	0,0	0,0	108	N	 	0,0	06/06/2018	8	S	06/06/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
37	18	19846,0	4  	1	03/05/2018	11/05/2018	31/08/2018	31/08/2018	841,2	841,2	0,0	0,0	0,0	108	N	 	0,0	06/06/2018	8	S	06/06/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
38	14	29505,0	1E 	1	10/05/2018	06/06/2018	07/06/2018	11/06/2018	49,27	49,27	5,24	0,0	0,0	108	N	 	29505,0	06/06/2018	7	N		8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
41	21	19492,0	1  	1	10/05/2018	10/05/2018	07/06/2018	13/06/2018	105,11	105,11	0,0	0,0	0,0	107	N	 	0,0	07/06/2018	8	S	07/06/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
77	35	1294745,0	2  	1	26/04/2018	10/05/2018	30/05/2018	04/06/2018	709,14	709,14	25,88	0,0	0,0	108	N	 	0,0	08/06/2018	8	S	08/06/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
43	4	52018,0	1  	1	05/06/2018	07/06/2018	07/06/2018	09/07/2018	7592,25	7592,25	835,15	0,0	0,0	110	N	 	0,0	07/06/2018	8	S	07/06/2018	7	S	FGTS		 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
44	22	139149,0	1E 	1	25/05/2018	07/06/2018	07/06/2018	05/06/2018	123,0	123,0	0,0	0,0	0,0	107	N	 	139149,0	07/06/2018	7	N		8	S	DEPOSITO BANCO DO BRASIL                                                                                                                                                                                                                                  		 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	900		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
521	1	82941,0	1  	1	16/06/2018	18/06/2018	16/06/2018	20/06/2018	1265,0	1265,0	48,07	0,0	0,0	108	N	 	0,0	18/06/2018	6	S	18/06/2018	6	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
